subj;trial;block;prior;kappa;ct;delay;fix;keypressed;R;T_Angle;resp_mod;choice_x;choice_y;init_resp_angle;choiceAngle;choiceR;RT;MT;ts_b;ts_f;ts_p;ts_d;ts_r;ts_e;m_pos_x;m_pos_y;m_clock
pilot6blocks;33;0;0;1;False;3000;True;;8;-72.19640651621062;eye;L;4.162561357021332;-8.24198030680418;0;-63.2;9.23;1.4158185000997037;1.4159163000294939;1684235550.9866428;1684235550.9920175;1684235551.7451806;1684235552.2477045;1684235555.2473195;1684235556.662825;[];[];[]
pilot6blocks;34;0;0;1;False;3000;True;;8;143.26568583969137;eye;L;-4.669124484062195;4.310725032538175;0;137.29;6.35;0.7323740000138059;0.7324343000072986;1684235557.5413344;1684235557.5573463;1684235558.3115082;1684235558.8137753;1684235561.8112006;1684235562.5441096;[];[];[]
pilot6blocks;35;0;0;1;False;1000;True;;8;-20.002604674120313;eye;L;7.007825970649719;-2.422347258031368;0;-19.07;7.41;0.7503760999534279;0.7504418999888003;1684235563.3706608;1684235563.3906603;1684235564.1445312;1684235564.6470163;1684235565.6274533;1684235566.3777862;[];[];[]
pilot6blocks;36;0;0;1;False;3000;True;;8;36.09795636035026;eye;L;6.856643319129944;4.34961162507534;0;32.39;8.12;1.8835600999882445;1.8836281999247149;1684235567.2284522;1684235567.240875;1684235567.9922006;1684235568.4944015;1684235571.5107346;1684235573.3946831;[];[];[]
pilot6blocks;37;0;0;1;False;1000;True;;8;126.59133358294795;eye;L;-3.9737919867038727;6.260626365244388;0;122.4;7.42;0.91743030003272;0.9174774999264628;1684235574.262882;1684235574.2728796;1684235575.0279207;1684235575.5287883;1684235576.5097146;1684235577.4273405;[];[];[]
pilot6blocks;38;0;0;1;False;3000;True;;8;103.16179544206209;eye;L;-2.6736218631267548;6.802622332423925;0;111.46;7.31;1.365942900069058;1.365997500019148;1684235578.3950138;1684235578.406034;1684235579.159594;1684235579.6610527;1684235582.6602776;1684235584.0262027;[];[];[]
pilot6blocks;39;0;0;1;False;1000;True;;8;-131.90191029957458;eye;L;-4.897239327430725;-6.247356256842613;0;-128.09;7.94;0.6976988000096753;0.6977504999376833;1684235584.8812108;1684235584.8902044;1684235585.6435397;1684235586.144295;1684235587.1269035;1684235587.8255324;[];[];[]
pilot6blocks;40;0;0;1;False;3000;True;;8;-136.38567421027813;eye;L;-4.871385186910629;-6.163767117261886;0;-128.32;7.86;1.4660726999863982;1.4661141000688076;1684235588.512577;1684235588.5227735;1684235589.2762516;1684235589.7780423;1684235592.775812;1684235594.242194;[];[];[]
pilot6blocks;41;0;0;1;False;1000;True;;8;60.66832008991389;eye;L;3.8981932997703552;7.119203734025358;0;61.3;8.12;1.7499430000316352;1.7499938999535516;1684235595.063659;1684235595.0721843;1684235595.8262749;1684235596.3270602;1684235597.3090346;1684235599.0589237;[];[];[]
pilot6blocks;42;0;0;1;False;3000;True;;8;98.85593637422367;eye;L;-2.1064745783805847;7.495831147022545;0;105.7;7.79;0.7149444000096992;0.7150196000002325;1684235599.8598337;1684235599.8718598;1684235600.6259725;1684235601.1271882;1684235604.1264937;1684235604.841741;[];[];[]
pilot6blocks;43;0;0;1;False;1000;True;;8;104.01472989984822;eye;L;-2.2828766107559204;6.407840389385819;0;109.61;6.8;0.7995692000258714;0.7996522999601439;1684235605.6376355;1684235605.6552787;1684235606.4095335;1684235606.910941;1684235607.8927224;1684235608.6925926;[];[];[]
pilot6blocks;44;0;0;1;False;1000;True;;8;-127.68551966589148;eye;L;-4.1491504311561584;-6.313016599416732;0;-123.31;7.55;0.6668535999488086;0.6669213999994099;1684235609.5093374;1684235609.5216987;1684235610.276658;1684235610.7764087;1684235611.7586875;1684235612.4255128;[];[];[]
pilot6blocks;45;0;0;1;False;3000;True;;8;-128.37618851938532;eye;L;-4.342682480812073;-5.332946008443832;0;-129.16;6.88;2.114737099967897;2.114838899928145;1684235613.2526736;1684235613.2716916;1684235614.025166;1684235614.5263424;1684235617.526596;1684235619.6416135;[];[];[]
pilot6blocks;46;0;0;1;False;1000;False;;8;80.80762596648783;eye;L;nan;nan;0;nan;nan;0.002700399956665933;0.0027904000598937273;1684235620.4749393;1684235620.4879448;1684235621.2265458;1684235621.2268171;1684235621.2278352;1684235621.2299526;[];[];[]
pilot6blocks;46;0;0;1;False;1000;True;;8;146.7540834304503;eye;L;-6.813938319683075;4.385145235061645;0;147.24;8.1;0.6987799999769777;0.6989230000181124;1684235621.7955036;1684235621.804237;1684235622.5587003;1684235623.0603616;1684235624.0409937;1684235624.7407367;[];[];[]
pilot6blocks;47;0;0;1;False;3000;True;;8;-70.74964920951727;eye;L;2.2852389812469482;-5.730419571697712;0;-68.26;6.17;1.1155307000735775;1.1156973999459296;1684235625.5319562;1684235625.537278;1684235626.2927892;1684235626.7930229;1684235629.7912302;1684235630.9065132;[];[];[]
pilot6blocks;48;0;0;1;False;1000;True;;8;119.27846286999528;eye;L;-3.7931940853595734;6.630997309461235;0;119.77;7.64;1.5166933999862522;1.5167431000154465;1684235631.7050078;1684235631.720755;1684235632.4732306;1684235632.9751801;1684235633.9569883;1684235635.4735584;[];[];[]
