subj;trial;block;prior;kappa;ct;delay;fix;keypressed;R;T_Angle;resp_mod;choice_x;choice_y;init_resp_angle;choiceAngle;choiceR;RT;MT;ts_b;ts_f;ts_p;ts_d;ts_r;ts_e;m_pos_x;m_pos_y;m_clock
testtt;35;0;0;1;False;1000;True;;8;-149.86977385953486;eye;L;-5.94853213429451;-5.00847789645195;0;-139.9;7.78;1.5527009000070393;1.55274690000806;1684226193.8318064;1684226193.8418398;1684226194.5949223;1684226195.0963058;1684226196.0776274;1684226197.629782;[];[];[]
testtt;36;0;0;1;False;1000;True;;8;59.831373114600936;eye;L;4.021246075630188;6.031953049823642;0;56.31;7.25;0.6987388998968527;0.6988092000829056;1684226198.360615;1684226198.3753772;1684226199.1285849;1684226199.6299694;1684226200.613311;1684226201.3120587;[];[];[]
testtt;37;0;0;1;False;3000;True;;8;-175.99574860084542;eye;L;-7.016353607177734;-1.0222231820225716;0;-171.71;7.09;1.9143349999794737;1.9144335000310093;1684226202.1041338;1684226202.1081471;1684226202.8627927;1684226203.36454;1684226206.3638303;1684226208.2776947;[];[];[]
testtt;38;0;0;1;False;1000;True;;8;149.4142625376481;eye;L;-6.321422576904297;4.7483691483736035;0;143.09;7.91;1.2995866000419483;1.2996500000590459;1684226208.987349;1684226208.9915493;1684226209.7450662;1684226210.245898;1684226211.2281132;1684226212.5275607;[];[];[]
testtt;39;0;0;1;False;3000;True;;8;-5.673317382858293;eye;L;7.755083620548248;-0.7570624262094497;0;-5.58;7.79;1.0988434000173584;1.0989821000257507;1684226213.2568462;1684226213.275101;1684226214.0294771;1684226214.5301595;1684226217.5301576;1684226218.628682;[];[];[]
testtt;40;0;0;1;False;3000;True;;8;-40.90279391574373;eye;L;7.9202083349227905;-4.0723934948444365;0;-27.21;8.91;1.3984441000502557;1.39851800003089;1684226219.302998;1684226219.308064;1684226220.0606647;1684226220.5627577;1684226223.5627723;1684226224.9612732;[];[];[]
testtt;41;0;0;1;False;1000;True;;8;17.608761559827023;eye;L;7.924155056476593;1.705842400342226;0;12.15;8.11;0.7855598999885842;0.7856175000779331;1684226225.703434;1684226225.7074258;1684226226.460717;1684226226.962752;1684226227.9434764;1684226228.7291908;[];[];[]
testtt;42;0;0;1;False;1000;True;;8;80.63313522137803;eye;L;0.7958527207374573;8.597371402010321;0;84.71;8.63;1.0162608000682667;1.0165595000144094;1684226229.5073555;1684226229.523603;1684226230.2769055;1684226230.7795203;1684226231.7608855;1684226232.7774746;[];[];[]
testtt;43;0;0;1;False;3000;True;;8;174.7345689262916;eye;L;-6.885421544313431;0.8101608239114284;0;173.29;6.93;1.6478471000446007;1.6479206000221893;1684226233.6367004;1684226233.6567705;1684226234.4106882;1684226234.9122505;1684226237.9110563;1684226239.5594447;[];[];[]
testtt;44;0;0;1;False;3000;True;;8;-95.96002594843195;eye;L;-0.11417576670646667;-7.2704215452075;0;-90.9;7.27;1.4989974000491202;1.4990587000502273;1684226240.3250983;1684226240.3398244;1684226241.094596;1684226241.595692;1684226244.5946186;1684226246.0929267;[];[];[]
testtt;45;0;0;1;False;1000;True;;8;152.74603285467865;eye;L;-6.671126455068588;3.1740727722644806;0;154.56;7.39;1.2178713999455795;1.2179274000227451;1684226246.9459803;1684226246.9566424;1684226247.7100332;1684226248.2123396;1684226249.192619;1684226250.4102736;[];[];[]
testtt;46;0;0;1;False;1000;True;;8;55.56997086507463;eye;L;5.20115727186203;7.521393660083413;0;55.34;9.14;1.415576700004749;1.4156410000286996;1684226251.083038;1684226251.088958;1684226251.8427033;1684226252.3449106;1684226253.3259957;1684226254.742376;[];[];[]
testtt;47;0;0;1;False;3000;True;;8;163.31613735788375;eye;L;-7.525326669216156;2.5972258307039735;0;160.96;7.96;1.1495251000160351;1.1496237999526784;1684226255.5956225;1684226255.6054158;1684226256.3593783;1684226256.862301;1684226259.8602028;1684226261.0094142;[];[];[]
testtt;48;0;0;1;False;3000;True;;8;57.17485414478263;eye;L;4.132689714431763;7.285338835045695;0;60.44;8.38;0.8311436999356374;0.831257599988021;1684226261.8346198;1684226261.839499;1684226262.6272142;1684226263.126858;1684226266.126411;1684226266.9586353;[];[];[]
testtt;49;0;0;1;False;1000;True;;8;-122.84270758084153;eye;L;-3.38187038898468;-6.175209930539131;0;-118.71;7.04;1.0988132000202313;1.0988770000403747;1684226267.7550573;1684226267.7718067;1684226268.524596;1684226269.0269327;1684226270.008044;1684226271.106913;[];[];[]
